Subject,Text,Type
South African J-term (2022) ,"Hi all, 

If you are receiving this email, then you have expressed interest in the J22 travel seminar to South Africa 
(and Zimbabwe). 

I am Prof. Knepper, one of the professors for the class. The other professor, Herbert Moyo, is a 
Zimbabwean who teaches in South Africa. He will be with us for the entire trip and will also accompany 
us back to Drake, where he will serve as the S22 “Global Scholar in Residence.” 

The travel seminar will visit the cities of Johannesburg, Durban, and Pietermaritzburg in South Africa, as 
well as Bulawayo in Zimbabwe. (We will also spend much time in the countryside.) The focus of the trip 
is lived religion, which includes African Christianity, European/missionary Christianity, indigenous 
religion (especially sangoma practice), Islam, and Hinduism. We will visit many different places of 
worship. We will also spend some time working with students from University of KwaZulu-Natal (where 
Herbert teaches) on a photo-narrative project about lived religion. 

On Tuesday of next week (3/30), I will hold an informational session from 4-5 pm. Feel free to drop in 
any time to ask questions. Here is the link: https://drake-edu.zoom.us/j/82477311829.

Also, you may of course simply email questions to me. 

All best, 
Tim

-----
Timothy D Knepper
Professor of Philosophy, Drake University 
Director, The Comparison Project

",Safe
Software Engineering Partners,"Hello I’m Wes and we’re partners for the upcoming assignment. What would be the best way to reach 
you so we can pick out our ‘issue’? 

Wes
",Safe
Rise and Shine tomorrow,"Part 2 of the inner core - YFSCAWA :) - series tomorrow - Wed. March (!) 2nd at 7:45 in the Bell Center 
Group X room.  We’ll start where we left off last week - in Savasana!  And of course, a little heat along 
the way.
 
LM 
---------------------- 
Dr. Leslie Marrs, Associate Professor of Flute and Recruitment Coordinator 
she/her/hers 
Drake University Department of Music 
1310 25th Street., FAC #268A 
Des Moines, IA  50311 
leslie.marrs@drake.edu 
http://www.drake.edu/music/faculty/drlesliemarrs/ 
515-271-2808 
FAX 515-271-2558 
800-44-DRAKE 
 
https://www.psychologytoday.com/blog/social-lights/201707/the-tune-every-first-year-college-student-needs



",Safe
Honoring Black History Month,"Greetings Members of the Drake Community,

Today marks the start of Black History Month. We center and celebrate the empowerment, 
achievement, and contributions of African American communities, not only as they manifest in the 
present and come to us through the past—but in terms of the hope they hold for our collective future. 

History matters. 

The origins of Black History month go back to the leadership of intellectual giant, Dr. Carter G. Woodson. 
Woodson established the Association for the Study of African American Life and History (ASALH) in 1915 
after participating in a national event to commemorate the 50th anniversary of emancipation. Dr. 
Woodson worked tirelessly throughout his life to promote widespread knowledge of Black history. He 
knew the past and future are connected, declaring the vision this way, “We are going back to that 
beautiful history and it is going to inspire us to greater achievements.”

In February 1926, Woodson’s ASALH sponsored the first week-long celebration of Black history. This was 
timing they chose, in part, because the great Frederick Douglass was born on February 12. Within 20 
years, Black communities all over the country turned a week into a month and then, in 1976, the first 
official presidential declaration of February as Black History Month was conferred. This declaration has 
been made every year since. 

It’s vital we all continue to learn about, lift up, and honor the endless contributions of African Americans 
to every aspect of U.S.-American life. Black history is U.S.-American history. 

It’s also important we insist on our rights and responsibilities to do just that! As political pressures are 
mounting all over the country—including in the state of Iowa—to limit how fully and honestly we talk 
about U.S. racial history in public life, we need to deepen our knowledge of African American life, joy, 
wisdom, sacrifice and struggle to be honored as full citizens and human beings.  We need to understand 
the ways history continues to resonate in the present. Just today a dozen Historically Black Colleges and 
University’s (HBCUs) received bomb threads. Black lives and well-being matter. 

It's also a joy to celebrate Black History and recognize the many African American people who are the 
Drake community, who make Des Moines what it is, who are Iowa. Black creativity, brilliance, and 
commitment are boundless. 

I want to encourage you to participate in the countless opportunities for celebration and 
acknowledgement that will be offered to all of us this month. 

Read about members of the Drake community in a story series called Voices of Drake. The first story in 
the series highlights Jazlin Coley–Smith, Director for Equity and Inclusion. Show up to one of the many 
events sponsored by the Coalition of Black Students. Learn about the Black suffragette’s courage to 
secure the vote. Spend an evening with Ty Marcellus (NuWorld Comics) who is creating a universe to 
rival Marvel’s. Join Dr. Brandi Brimmer to hear about southern Black women’s journey to secure 
freedom for themselves after the Civil War and what these legacies mean for us today. 

There is so much to learn, celebrate, and continue to share.

Finally, in appreciation of Black History month, an offering of poetry, shared by Provost Sue Mattison. 
This poem was written by Clint Smith who is an award-winning poet, writer for the Atlantic and author 
of New York Times bestseller How the Word Is Passed. 

Meteor Shower
by Clint Smith

I read somewhere that meteor showers
are almost always named after

the constellations from which
they originate. It’s funny, I think,

how even the universe is telling us
that we can never get too far

from the place that created us.
How there is always a streak of our past

trailing closely behind us
like a smattering of obstinate memories.

Even when we enter a new atmosphere,
become subsumed in flames, turn to dust,

lose ourselves in the wind, and scatter
the surface of all that rests beneath us,

we bring a part of where we are from 
to every place we go.


__________________________________
 
Jennifer Harvey, PhD (she/her/hers)
Associate Provost of Campus Equity and Inclusion
Drake University

T  515-271-2885
E  jennifer.harvey@drake.edu
W  https://www.drake.edu/diversity  
 
 

***** 
i want to live in a world where harm
is not systemic, where love organizes
society, where the earth is respected,
and where life is valued above all else

-yung pueblo

",Safe
Halloween Weekend ,"Good morning Bulldogs,
 
As we prepare for Halloween Weekend, we want to state the following: each and every one of us 
represents Drake University. Respect each other, respect yourself and watch over each other during 
Halloween as we continue to navigate COVID-19. If you plan on participating in any Halloween 
activities, please do so in a manner that ultimately highlights the best of who you are and who we are as 
Drake University—you do not want to be a headline in a news story. Be very conscientious of theme 
based Halloween gatherings; we are an institution that prioritizes inclusivity.  If you or someone you are 
with needs assistance, please contact Drake Public Safety (24/7) at 515-271-2222.  Once again, be safe 
and enjoy yourselves. 
 
Sincerely,
 
Scott Law                                                                                                       Hannah Clayborne
Executive Director Public Safety &                                                                Dean of Students
University Operations



 
",Safe
30 minutes,"I’m running about 30 minutes late but I will be in as soon as I can. 

James

Sent from my iPhone",Safe
72 hw,"Hi Everyone,

I put your graded homeworks in the metal basket outside my office door, 308 Aliber.  There are 2 
separate clips for the 2pm and 3:30pm sections.  The homeworks are alphabetical inside each clip.  As a 
reminder, Test 1 is Tuesday and I have office hours from 2-5 tomorrow if you would like to come in and 
get any help.


Thank you,
Dr. Vaughan

Sent from Mail for Windows",Safe
"COVID-19 Drake Update - September 17, 2021","The Drake University Emergency Operations Center sends operational updates to all faculty, 
staff, and students. President Martin and Provost Mattison will share additional messages, as 
appropriate. Please read the entirety of each message.

September 17, 2021

Key Points (as of this morning)
*	There are five students with confirmed cases of COVID-19 in on-campus isolation
*	There are 15 students with confirmed cases of COVID-19 off campus
*	There are 15 students in quarantine
*	79.8% of employees are fully vaccinated
*	70% of all registered students, 76% of students with at least one class in person, and 
86% of residential students have submitted their vaccination record
*	Securely report your vaccination to Drake
Upcoming OSHA COVID-19 Mitigation Requirements 
The Department of Labor’s Occupational Safety and Health Administration (OSHA) is developing 
a rule that will require all employers with 100 or more employees to ensure their workforce is 
fully vaccinated or require any workers who remain unvaccinated to produce a negative test 
result on at least a weekly basis. OSHA will issue an Emergency Temporary Standard (ETS) to 
implement this requirement in the coming weeks. Once that ETS is issued, more will be known 
about the timeline for implementation and the specific requirements of the standard. 

Faculty, staff, and student employees who have not yet been vaccinated or submitted proof of 
vaccination are strongly encouraged to do so now so that the University is well positioned to 
comply with this new requirement once it takes effect. Any changes to Drake policies or 
protocols will be communicated to campus in a variety of ways, including through COVID-19 
Updates. Faculty, staff, and student employees should submit documentation using this secure, 
mobile friendly, and easy to use form. 

Drake Testing Options 
Students experiencing COVID-19 symptoms can be tested at no cost at the Student Health 
Center. Students should call 515-271-3731 before showing up in person. 

Drake administers PCR tests, which are the most accurate type of COVID-19 test. Due to the 
higher risk of producing a false negative result with an antigen test, the University strongly 
recommends obtaining a PCR test from the Student Health Center or seeking out a test site that 
administers PCR tests.

Faculty and staff experiencing COVID-19 symptoms must contact Chris Nickell, director of 
environmental health and safety, at chris.nickell@drake.edu to receive instructions on how to 
obtain a test at no charge from the University.

For more information about COVID-19 testing at Drake, please see the COVID-19 Testing FAQ.

Fall Break Status 
At this time, Fall Break remains scheduled for October 18 and 19. Given the rapidly changing 
impacts of the Delta COVID-19 variant on our community, Provost Mattison may move Fall 
Break to November 22 and 23 (Thanksgiving week) at her discretion, with Faculty Senate having 
consented to this potential change (Motion 22-01, August 5, 2021).

Student Vaccine Incentives Update 
Should Drake reach 80% of students with at least one class on campus reporting full vaccination 
by Sept. 24, 20 students will be awarded one-time (non-renewable) scholarships in the amount 
of $2,500. Currently 76% of students with at least one class on campus have submitted proof of 
vaccination to the University. Additional details can be found in this Aug. 6 message. 

Securely Report Your Vaccine
Submitting proof of your vaccination is highly encouraged so the University can make 
accurate and informed decisions about safe campus operations. Students, faculty, and staff 
should submit documentation using this secure, mobile friendly, and easy to use form. 

Face Coverings 
The University Face Coverings Policy remains in effect. Even if you believe everyone is 
vaccinated, this policy applies and will be enforced. It is important that we all consistently 
adhere to this policy to ensure we are protecting both ourselves and others within the campus 
community.

COVID-19 Symptoms
Please re-familiarize yourself with the CDC’s list of common COVID-19 symptoms. It is possible 
for fully vaccinated individuals to contract and spread COVID-19, so please be aware of changes 
in your health no matter your vaccination status.

Do Your Part 
It is up to each one of us to protect ourselves and each other. Employees and students living off 
campus who do not feel well must avoid coming to campus until they are healthy. Please 
continue to follow the University’s safety protocols: wear a mask and remember to wash your 
hands properly and often. By doing your best to avoid exposure to the coronavirus, you are 
helping save lives and medical resources for those who need them most. 

Minimizing the risk of COVID-19 infections is a shared responsibility. Drake’s plans are aligned 
and consistent with local and state guidance. The University follows recommendations from the 
Centers for Disease Control and Prevention (CDC), Iowa Department of Public Health, and Polk 
County health officials.

Please visit drake.edu/coronavirus, which houses a repository of campus updates and messages 
pertaining to the COVID-19 pandemic and provides answers to many frequently asked 
questions.",Safe
Research Interest Form (Action required),"Hello!

If you’re getting this email, it means that you indicated that you were interested in participating in a 
student research group working in the Human-Centered Machine Learning group. In order to help me 
get a better idea of which projects you are interested in, when you can meet, and if you have a 
preference as to who you work with, please fill out the form below by this Wednesday afternoon. I’ll 
plan on sending out a meeting invitation for this Friday once I have a better idea of when everyone is 
available. 

Link to form: https://forms.gle/9GtSkaJ9cQ9Wk81i8 

All the best,
Meredith

Meredith Moore, Ph.D.
Drake University | Assistant Professor of Computer Science

meredith.moore@drake.edu
Pronouns: she | her
",Safe
"Re: Opportunity to participate in research at the Dep. of Math and CS. September 10 at 
2pm","Hi everyone, 

Just a friendly reminder to come to learn more about research at Math and CS department on 
September 10th (THIS Friday) at 2 pm at C-S 301! We have projects that might be of interest to 
all majors and minors in our department.

Come have fun and meet new friends!

Vira Babenko, PhD
Assistant Professor of Mathematics
Department of Mathematics and Computer Science
Drake University  | Collier-Scripps Hall 317 | 515-271-3170
 
From: Vira Babenko 
Sent: Wednesday, September 1, 2021 12:42 PM 
To: Maryann Huey <maryann.huey@drake.edu>; Christopher Porter <christopher.porter@drake.edu> 
Subject: Opportunity to participate in research at the Dep. of Math and CS. September 10 at 2pm 
 
Hello everyone, 

I hope you had a great start to your new academic year! I want to provide some information on 
an excellent opportunity to participate in some fantastic research this semester. Our 
Mathematics and Computer Science Department will hold our annual information meeting on 
September 10th at C-S 301. Everyone is welcome to stop by to meet with professors and hear 
about what great research topics you and your classmates can explore this semester. At the 
meeting, each professor will talk a bit about their projects, they will be available to answer any 
questions you might have about their projects, and you will be able to sign up to participate. No 
prior experience or specific classes are required for most projects, so it's a great opportunity to 
find new (or join your old ;) ) like-minded friends and make your resumes stronger and more 
distinct. This year, we have various projects; here are a few: Human-Centered AI and ML, 
analyzing the Iowa Youth Survey, Image Parsing for Robotic Applications, Data Science for 
Economics, Iowa State-wide Mathematics Transition Research in math education, Hopping 
Forcing on Graphs, etc.

Learn more about research at our department on September 10th at 2 pm! 

Vira Babenko, PhD
Assistant Professor of Mathematics
Department of Mathematics and Computer Science
Drake University  | Collier-Scripps Hall 317 | 515-271-3170",Safe
Goodwin Kirk Vandalism,"Hello GK Residents,
 
Happy end of the semester! Thanks for all of your help in making this a great year in Goodwin Kirk! 
 
As we wind down, I wanted to send out a quick note regarding some recent vandalism on whiteboards. I 
have received some reports recently of individuals having their dry erase boards altered and wanted to 
address the building. 
 
As a reminder, it is a violation of the Residence Hall Handbook to deface the whiteboards in the 
residence halls. We are watching for those who are violating these policies and will be acting 
appropriately following the Student Code of Conduct. 
 
Please do not write on a board that is not yours, run fingers and hands through messages or drawings, 
or erase boards that are not your own. We appreciate everyone working together to make sure 
individuals and our community spaces are respected.  
 
Feel free to reach out if you have any information, questions or concerns.
 
Good Luck on your final exams and have a great summer!
 
Sincerely,
 
Hayley

Hayley Ellis
(She/her/hers)
Area Coordinator|Upper Class Experience
Goodwin-Kirk Residence Hall
Residence Life|Drake University
(515) 271-2400 (Office)

Schedule a meeting with me here!

",Safe
Vaccination Card,"Good afternoon,

I understand from the COVID 19 Main inbox that you have received your second dose of the 
COVID vaccine, however, we are having trouble opening the picture you sent of your ID 
card.  Please send the picture again to this email address.  As soon as we receive and are able to 
open it, I'll add you to our tracking system.

Linda, Drake Contact Tracing Team


",Safe
Re: Wellmark Project Presentations ,"Hi,

You’ll be presenting to the class, the VPs at Wellmark, and the collection of mentors. No formal dress 
code, but dressing up is probably a good idea.

The general expectation is that you’ll fill about 3 minutes with a presentation of your project. Assume 
the audience isn’t familiar with your topic. Describe what you did (or what you discovered). There will 
likely be a few minutes for Q&A afterwards.

Does this help?

Tim
",Safe
"PROGRAMMING LANGUAGES: Assignment 2 Extended Deadline","Dear Students,
I decided to push back the deadline of Assignment 2 to Thursday, April 22, for everyone in the class. Be 
sure to get some sleep and come to class with any questions you have about the assignment.
All the best,
-- Titus
",Safe
Spring into Action and unlock a donation to Habitat from Bankers Trust!,"Sign up to volunteer and unlock a bonus donation from Bankers Trust!

We need your help this spring to build and repair homes right here in Central Iowa. Will you answer the call?

Our partners at Bankers Trust want to help. They've sponsored a $50 donation for each of the first 100 volunteers to sign up for a shift between April 13 and April 22. That's a $5,000 donation to GDM Habitat that you can help unlock!

Sign up and trigger your bonus donation!

Is your group interested in volunteering?

Contact our volunteer engagement team for information about group volunteering with this Rock the Block event or other opportunities! Use our contact form to get started.

 
Greater Des Moines Habitat for Humanity
PO Box 716  | Des Moines, Iowa 50303
515-471-8686 | info@gdmhabitat.org

Follow Us

                        
Unsubscribe or Manage Your Preferences",Safe
This is only a test!  A statewide tornado drill is in effect.  An all clear will be issued at the conclusion of the drill.  This is only a test.,This is only a Test! A statewide tornado drill is in effect. If inside please proceed to the nearest shelter. If outside please seek shelter in a building. This is only a Test.,Safe
We're updating the Wells Fargo Online Access Agreement,"We're updating the Online Access Agreement

When you enrolled in Wells Fargo Online®, Wells Fargo Business Online®, Wells Fargo Mobile®, or Wells Fargo Advisors® online services, you reviewed and accepted our Online Access Agreement (OAA). 

An updated version of the OAA will go into effect on May 24, 2022. You can view a summary of changes and view the updated OAA. 

This notice is simply to let you know of these changes—you don't need to do anything. Your continued use or access of Wells Fargo Online, Wells Fargo Business Online, Wells Fargo Mobile, or Wells Fargo Advisors online services indicates your agreement with these changes. 

Thank you for choosing Wells Fargo. 


Investment and Insurance Products are:
Not Insured by the FDIC or Any Federal Government Agency
Not a Deposit or Other Obligation of, or Guaranteed by, the Bank or Any Bank Affiliate
Subject to Investment Risks, Including Possible Loss of the Principal Amount Invested
wellsfargo.com | Security Center | Contact Us
Investment products and services are offered through Wells Fargo Advisors. Wells Fargo Advisors is a trade name used by Wells Fargo Clearing Services, LLC (WFCS) and Wells Fargo Advisors Financial Network, LLC (WFAFN), Members SIPC, separate registered broker-dealers and non-bank affiliates of Wells Fargo & Company. 

Deposit products offered by Wells Fargo Bank, N.A. Member FDIC. 

Please do not reply to this automated email.
27bc2-324-ae5f-e5ab7f31d-a2656bd3_62391220_78f3-16bc5  ",Safe
Opportunities for A&S Majors!,"Argenta will be tabling in the skywalk between Harvey-Ingham and Fitch
Tuesday, March 22, 10-1. See attached information.
They are the world's only combined global contract research organization (CRO) and contract manufacturing organization (CMO) specializing in animal health.
 
Visit the Micro-Health Careers Expo
March, 23, 3:00-5:30
Cline Atrium
See attached flyer for details.
 
 
 
 
 
 
 
 
Chrystal Stanley, PhD 
Director of Professional & Career Development 
Drake University
2507 University Avenue
219 Medbury Hall 
Des Moines, Iowa 50311
515-271-3752
Together we transform lives and strengthen communities.
 
Pronouns: she/her/hers
 
** Please know that I honor and respect boundaries around personal time, well-being, caretaking, and rest. Should you receive correspondence from me during a time that you're engaging in any of the above, please protect your time and wait to respond until you're next working or in front of a computer. Prioritize joy, not email, when and where you can. **",Safe
Return,"Thank you for your message.

We're very sorry to hear that. We extremely advise that you stop using them anymore to avoid further irritation. I have sent you a return label in a separate email. Please print it out and attach it on the outside of the package. You can drop it off at any USPS location. Once we have received and processed the return package, you will receive an email notification on the refund. Please let me know if there is anything else I can help you with. Thank you so much for shopping with us.

Again, we're very sorry about the circumstances.

Best,
Zee
",Safe
Please help Drake by completing NSSE,"Dear

At Drake University we want our students to have the best educational experience possible, and the National Survey of Student Engagement (NSSE) helps by providing vital information about activities in and out of the classroom. For example, we have used previous results to help shape our efforts to deliver high-impact learning experiences such as service-learning, internships, research, and study abroad. Your participation is critical, so I hope you will complete NSSE—an opportunity only available to first-year and senior students.

In appreciation for participating, we will enter all students who complete the survey by April 20th into a drawing for 1 of 15 bookstore gift cards worth $50 each. Your chances of winning depend on how many complete the survey; the last time we administered this survey about 428 students responded.
Take the Survey

For help with logging into the survey or to find answers to a variety of other questions, please contact NSSE. More information about NSSE is at nsse.indiana.edu. If you have other questions, please contact Kevin Saunders at kevin.saunders@drake.edu or 515-271-1984.

Thank you in advance for taking a few moments to reflect on your experiences and help us strengthen Drake University!

Sincerely,

Marty Martin
President

Sue Mattison
Provost

If you have problems accessing the survey above, please follow these instructions:

In your Web browser, type: nssesurvey.org
In the Login ID box, enter: NA7E78B182

If you prefer to contact us by email, please send messages to help@nssesurvey.org.

If you do not wish to participate in this study, please click on the survey link and select the button marked “I do not wish to participate.”",Safe
Life Product Support Analyst Opportunity with Farm Bureau Financial Services,"Hi,
 
Happy Friday! You previously applied to our Data Analytics Analyst (Life Companies) opportunity with Brendan McCallum. Brendan was impressed with your application & shared it with another hiring manager for a different position he thinks you could be a good fit for if you’re interested. This position is called a Life Product Support Analyst reporting to Mike Staudacher. Here is the direct link to learn more about the opportunity: https://fbfs.csod.com/ux/ats/careersite/1/home/requisition/3311?c=fbfs              
 
Please let me know either way if you are interested. If you are, I can move your application without you having to go through the application process again.  
 
We look forward to hearing from you. Thanks so much!
 
Grace Telling
Talent Acquisition Specialist
Farm Bureau Financial Services
5400 University Avenue, West Des Moines, IA  50266
Ph: 515-226-6466
www.fbfscareers.com",Safe
"Junior Year!","I hope you’ve had a great summer. I’m just getting back to work from maternity leave and saw that you were offered part time employment with Wellmark this fall! Congrats! I’d love to find time to catch up, hear how your year-end project wrapped up last year and what’s going on for your junior year! Let me know when might be a good time to catch up.

Have a great weekend!",Safe
SASS Newsletter - March 20,"Fall 2022 Registration
Registration Date - Be on the lookout for an email from the Registrar's Office that has your specific registration date and time. 
Holds - Double check your holds via Self-Service. Take care of holds as soon as possible. REMINDER: Student-athlete holds remain on your account until registration. 
Advising - Schedule an appointment with your on-campus advisor as soon as possible. 
We in athletics cannot advise you on what classes to take. Ask questions to let us know if you are confused or have general questions about the fall semester or how your classes work with practice.
Course Planning Forms are due April 1st at 5:00pm.
Reach out to Jordan if you have questions about the Qualtrics form. 

 
Tutoring & Study Hall

Struggling with a course or just need some extra support? Sign up for tutoring today! 
Click Here for Tutoring
Study Hall Reminders

Normal study hall hours resume this week. 
If you are going to miss study hall due to travel, you need to let Jordan know in advance. 


On-Campus

Campus Events
Click here to see what is happening this week on campus!
Student Resources
Counseling Center - Click Here
ITS Support - Click Here
Student Services - Click Here

Important Dates & Events

March 27 | SAAC Meeting at 7:30p in Olin 206
March 30 | Last Day to Withdraw
April 24-30 | Relays Week
April 25 | Student-Athlete Talent Show
Questions? Contact Us.



Stephanie Sledge - Associate Athletics Director - Student-Athlete Success 
Email: stephanie.sledge@drake.edu
Jordan Prantner - Assistant Director for Student-Athlete Academic Success
Email: jordan.prantner@drake.edu
General Questions? Send them to studentathletesuccess@drake.edu. 

Drake University Drake University Athletics 2507 University Ave, Des Moines, Iowa 50311
Email tickets@drake.edu    Tickets 515-271-3647    Website GoDrakeBulldogs.com",Safe
"Out AM. Maybe out PM.","Out for the rest of the day. :-(

James

Sent from my iPhone",Safe
Final funded spaces on mid-April Colombia programmes + reminder to fill out summer preferences form,"Hello     

I hope all is going well with you, I am just messaging you as you once applied or took part in our projects, so I thought you might be interested in our new upcoming opportunities, especially a funded trip to Colombia next month.

First off, thanks again for being involved with Gotoco! I write to you from Thailand, where we have just arrived with our first cohort of Trinity CertTESOL trainees—our first group since the pandemic began! We are planning exciting things here for the summer and have a host of other great global initiatives opening elsewhere too. 

There have been quite a few developments with our organisation and project in recent months. We are delighted to now be offering destinations across Europe for the summer (Italy, Spain, Germany, Poland, and more). We also do off-cycle and longer term opportunities in Thailand/Colombia.

Generally, over recent years, we have sought to offer opportunities in East Asia (primarily Mainland China, but also Hong Kong and Japan), but East Asian projects won't run this summer because severe COVID restrictions seem likely to remain in place and these make travel for programmes like ours very challenging. So, East Asian locations are waiting for a future time when COVID restrictions in East Asia relax.

Please read the two points below and be in touch if you'd like to be involved.

1. Final openings for mid-April funded trip to Colombia:

I am just messaging now because we still have a few openings in next month's fully funded Colombia opportunities. If you are at all interested please fill in this form and we can set up an interview. It is a fantastic programme, participants will be working with the YMCA charity in Bogoá, delivering English classes and getting Trinity CertTESOL trained (all funded and free). We have similar projects upcoming in May and June too. 

2. Summer programme list now published:

Our programme list is now published for all Gotoco'ers that have held a position with us for this summer. We have fantastic opportunities running this summer, across Europe (Italy, Spain, Poland, Germany, Switzerland..), Thailand, Palestine, & Colombia. At this link you can read up on all of them and advise us which ones you'd like to do.

If you wish, you can join us in Colombia from April and also summer somewhere else, so please take a look at the above opportunities to see if you are interested. 

A reminder on eligibility: these programmes are supported by the UK government, and are open for all UK and Republic of Ireland residents/citizens (including anyone on long-stay visas, such as student visas in these countries). On the programmes, you will teach English while working towards a funded TEFL certificate, your return flights, meals and accommodation are all funded. For those that aren't eligible through a link to the UK or Ireland, we are offering similar summer opportunities in the UK, so please join us in the UK this summer (check out the link above and advise us there if you are interested).

Thanks for reading this far. Looking forward to chatting soon!

Best wishes,

Danny

Daniel Parrott

Gotoco Director
www.go-to.co

 

Check out our main social pages on Facebook and Instagram, we also sometimes use Youtube, Twitter, and even Linkedin!

Gotoco is an award-winning, highly rated, certified social enterprise. We are rated highly by the 1,000s of participants that have taken part in programmes with us. We are award winning, for our work we have been shortlisted for various awards. For our efforts in building a community of young China watchers and offering support to educational institutions across China, we are finalists in the China Social Impact Awards, an award organised by the British Chamber of Commerce in China in partnership with the United Nations. For our TEFL and initiatives, we are bronze award winners for Best Educational Product with the British Youth Travel Awards. While for our provision of summer internships in China we were granted Gold Star Host status by the University of Oxford, and we've been voted most fun in the Teach Abroad category in the Go Overseas Community Choice Awards! Check out our hundreds of 5star reviews on Trustpilot!

FYI: This email and any files transmitted with it are confidential and intended solely for the use of the individual or entity to whom they are addressed.",Safe
Daily Notifications,"Your updates
Messages
New message from Timothy Knepper 
INTRO TO WORLD RELIGIONS - SP22 - 12175 (202220-REL-003-12175-WEB)
 
Discussions
101 new posts 
INTRO TO WORLD RELIGIONS - SP22 - 12175 (202220-REL-003-12175-WEB)
 
Other new content
REL 003 Week 10 Paper instructions.pdf added 
INTRO TO WORLD RELIGIONS - SP22 - 12175 (202220-REL-003-12175-WEB)
Email brought to you by
Blackboard
Want to change how you receive these emails?
Manage your notification settings",Safe
Graduate Career Opportunity,"Good Afternoon,

I hope you have a safe and fun St. Patties Day! I’m reaching out to see what your plans are for after graduation. Have your original plans changed? I wanted to provide an opportunity that you may not know about, pathway to becoming a leader of Marines!  As a college graduate, you can use your degree to become an officer in the United States Marine Corps.  Officers are leaders that use their education and experiences to train, develop, coach and mentor young Marines.


Do you like physical fitness, complex problem-solving, leadership, and decision making?


Do you seek to serve a purpose greater than yourself?

What do you know about Marine Corps Officer Commissioning Programs?

Marine Corps Officers are four-year college graduates who serve in leadership roles and can specialize in nearly any occupation available outside of the Marine Corps.  Officers are employed in management roles, typically providing guidance and oversight to enlisted Marines.

Officers have higher levels of responsibility than enlisted members, and also receive higher pay.  Starting salaries for full-time officers are typically around $55,000-$70,000 with increases tied to promotions.  This pay includes full medical, dental, life insurance. You getting a living allowance as well, which is based on your rank and zip code and is nontaxable. Expect to make near six figures by your fourth year.

Officer Candidates School is one of the premier leadership training courses offered in the world today.  Marine Corps Officer training has given students just like you the leadership skills and experience to go on to successful careers both in the Marine Corps and Corporate America.  If you are mentally, physically, and academically qualified you can apply for Aviation, Ground, or Law programs.  The Marine Corps has over 22 different career specialties to include everything from Public Affairs, Infantry, Intelligence and Logistics and more.

Do you want to find out more?  Call, text, or email me.  Go to the website to watch testimonials and videos from candidates and officers.  You can learn a lot from the website: www.marines.com/officer.

 

Respectfully,
 
SSgt Adam L. Landon
United States Marine Corps
Officer Selection Officer, Iowa City
1150 5th St. Suite 220
Coralville, IA 52241
Office: (319) 354-3802
Cell: (515) 491-9535
https://www.facebook.com/marineofficeriowa/
https://www.marines.com/iowaofficer",Safe
Commuter Spring 2022 Application,"Dear,

Our records indicate that you have either started or completed the Fall 2021 Commuter Application.

If you no longer wish to have a commuter meal plan for the spring semester, you do not need to do anything.

If you are an approved commuter student and wish to have a Spring 2022 meal plan you will need to complete the Spring 2022 Commuter Application and select a meal plan for the Spring Term. 

If you are an athlete that has a meal plan scholarship. Please note that the 125B meal plan is covered under that scholarship. If you select a meal plan other than the 125B you will be responsible for paying the difference.

Please log into MyDrake, click on the fork&knife icon, click on Apply Here, to complete the Spring 2022 Commuter Application and to request a Spring meal plan, if desired.

Any unused fall commuter flex dollars will roll into the spring semester, Only with the purchase of a spring commuter meal plan.

Sincerely,

The Office of Residence Life
Drake University
housing@drake.edu
515-271-3781",Safe
Notice of Information Available to Students,"Email Notice to Students
Subject:  Notice of Information Available to Students
To:       Drake Students
From:  Office of Institutional Research and Assessment, Kevin Saunders, Director
RE:      Annual notice to students of available information
 
There is now a new location for required disclosure information specific to Drake University. Drake is required to provide information including, but not limited to, financial assistance opportunities, graduation rates, student loan default rates, crime statistics, campus safety programs, policies related to alcohol and illegal drugs, average student indebtedness and data pertaining to NCAA athletic participation. 
You can find the information here: http://www.drake.edu/info/ (Which is also at the footer of the Drake homepage under “Consumer Information”). Please direct requests for additional information to the Office of Institutional Research and Assessment at (515) 271-1984.
 
 
_______________________________________________________________________
Kevin Saunders (he/him/his), Ph.D.
Director of Institutional Research & Assessment
 
Office of Institutional Research & Assessment | Drake University

T  515-271-1984
E  kevin.saunders@drake.edu
F  515-271-4630
www.drake.edu/oira",Safe
Lab Published to Portal,"Your lab results are now available on our patient portal!

If you do not have the link for our portal, please visit www.northshoreprimarycare.com

and click on the Patient Portal button.


If you don't want to receive these emails from us in the future, you can Unsubscribe.",Safe
New content available,"Hello,

Our records show that you may be due for certain procedures and tests. 

Click ""Sign In to MyNM"" to view your information.

Thank you,
Northwestern Medicine

PLEASE DO NOT REPLY TO THIS MESSAGE",Safe
